# Arista EOS Switch - Standard .snmprec Format
# This demonstrates the native .snmprec format that's already supported
# Format: OID|TYPE|VALUE

# System group
1.3.6.1.2.1.1.1.0|octetstring|Arista Networks EOS version 4.28.3M
1.3.6.1.2.1.1.2.0|objectidentifier|1.3.6.1.4.1.30065.1.3011.7.1
1.3.6.1.2.1.1.3.0|timeticks|1234567890
1.3.6.1.2.1.1.4.0|octetstring|support@arista.com
1.3.6.1.2.1.1.5.0|octetstring|arista-switch-01
1.3.6.1.2.1.1.6.0|octetstring|Network Lab - Building A
1.3.6.1.2.1.1.7.0|integer|78
1.3.6.1.2.1.1.8.0|timeticks|0

# Interfaces group - 48 + 2 uplink ports = 50
1.3.6.1.2.1.2.1.0|integer|50

# Access ports 1-48
1.3.6.1.2.1.2.2.1.1.1|integer|1
1.3.6.1.2.1.2.2.1.2.1|octetstring|Ethernet1
1.3.6.1.2.1.2.2.1.3.1|integer|6
1.3.6.1.2.1.2.2.1.4.1|integer|1500
1.3.6.1.2.1.2.2.1.5.1|integer|1000000000
1.3.6.1.2.1.2.2.1.7.1|integer|1
1.3.6.1.2.1.2.2.1.8.1|integer|1
1.3.6.1.2.1.2.2.1.10.1|counter32|100000000
1.3.6.1.2.1.2.2.1.16.1|counter32|50000000
1.3.6.1.2.1.2.2.1.20.1|counter32|0

1.3.6.1.2.1.2.2.1.1.2|integer|2
1.3.6.1.2.1.2.2.1.2.2|octetstring|Ethernet2
1.3.6.1.2.1.2.2.1.5.2|integer|1000000000
1.3.6.1.2.1.2.2.1.7.2|integer|1
1.3.6.1.2.1.2.2.1.8.2|integer|0
1.3.6.1.2.1.2.2.1.10.2|counter32|0
1.3.6.1.2.1.2.2.1.16.2|counter32|0

1.3.6.1.2.1.2.2.1.1.3|integer|3
1.3.6.1.2.1.2.2.1.2.3|octetstring|Ethernet3
1.3.6.1.2.1.2.2.1.5.3|integer|1000000000
1.3.6.1.2.1.2.2.1.7.3|integer|1
1.3.6.1.2.1.2.2.1.8.3|integer|0

1.3.6.1.2.1.2.2.1.1.4|integer|4
1.3.6.1.2.1.2.2.1.2.4|octetstring|Ethernet4
1.3.6.1.2.1.2.2.1.5.4|integer|1000000000
1.3.6.1.2.1.2.2.1.7.4|integer|1
1.3.6.1.2.1.2.2.1.8.4|integer|1

# Skip to port 48 for brevity
1.3.6.1.2.1.2.2.1.1.48|integer|48
1.3.6.1.2.1.2.2.1.2.48|octetstring|Ethernet48
1.3.6.1.2.1.2.2.1.5.48|integer|1000000000
1.3.6.1.2.1.2.2.1.7.48|integer|1
1.3.6.1.2.1.2.2.1.8.48|integer|1
1.3.6.1.2.1.2.2.1.10.48|counter32|500000000
1.3.6.1.2.1.2.2.1.16.48|counter32|400000000

# Uplink ports
1.3.6.1.2.1.2.2.1.1.49|integer|49
1.3.6.1.2.1.2.2.1.2.49|octetstring|Ethernet49
1.3.6.1.2.1.2.2.1.3.49|integer|6
1.3.6.1.2.1.2.2.1.5.49|integer|10000000000
1.3.6.1.2.1.2.2.1.7.49|integer|1
1.3.6.1.2.1.2.2.1.8.49|integer|1
1.3.6.1.2.1.2.2.1.10.49|counter32|5000000000
1.3.6.1.2.1.2.2.1.16.49|counter32|4500000000

1.3.6.1.2.1.2.2.1.1.50|integer|50
1.3.6.1.2.1.2.2.1.2.50|octetstring|Ethernet50
1.3.6.1.2.1.2.2.1.3.50|integer|6
1.3.6.1.2.1.2.2.1.5.50|integer|10000000000
1.3.6.1.2.1.2.2.1.7.50|integer|1
1.3.6.1.2.1.2.2.1.8.50|integer|1
1.3.6.1.2.1.2.2.1.10.50|counter32|6000000000
1.3.6.1.2.1.2.2.1.16.50|counter32|5500000000

# IP group
1.3.6.1.2.1.4.1.0|integer|1
1.3.6.1.2.1.4.20.1.1.172.16.0.1|ipaddress|172.16.0.1
1.3.6.1.2.1.4.20.1.2.172.16.0.1|integer|1
1.3.6.1.2.1.4.20.1.3.172.16.0.1|ipaddress|255.255.255.0

1.3.6.1.2.1.4.20.1.1.192.168.100.1|ipaddress|192.168.100.1
1.3.6.1.2.1.4.20.1.2.192.168.100.1|integer|49
1.3.6.1.2.1.4.20.1.3.192.168.100.1|ipaddress|255.255.255.0

# TCP group
1.3.6.1.2.1.6.1.0|integer|4
1.3.6.1.2.1.6.5.0|counter32|75000
1.3.6.1.2.1.6.9.0|integer|123
1.3.6.1.2.1.6.10.0|counter32|75000000
1.3.6.1.2.1.6.11.0|counter32|70000000
1.3.6.1.2.1.6.12.0|counter32|15000

# UDP group
1.3.6.1.2.1.7.1.0|counter32|5000000
1.3.6.1.2.1.7.2.0|counter32|100
1.3.6.1.2.1.7.3.0|counter32|5
1.3.6.1.2.1.7.4.0|counter32|4500000

# SNMP group
1.3.6.1.2.1.11.1.0|counter32|250000
1.3.6.1.2.1.11.2.0|counter32|100000
1.3.6.1.2.1.11.3.0|counter32|500
1.3.6.1.2.1.11.4.0|counter32|0
1.3.6.1.2.1.11.5.0|counter32|50
1.3.6.1.2.1.11.6.0|counter32|250
